$ python3 scripts/check_axioms.py scripts/Audit.lean logs/axioms.log
Nivat.exists_rational_model: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.act_mul: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.finiteRange_act: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.support_mul_subset_rectangle_iff: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.multiplierMap_injective: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.localFilter_transpose: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.translatedSpan_eq_ker: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.translatedSpan_finrank_add: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.finite_fiber_budget: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.exact_complexity_descent: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Descent.exists_smaller_low_complexity_rectangle: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Dynamics.exists_halfPlane_pair: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Dynamics.halfPlane_pair_of_finiteRange_not_periodic: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.exists_nonzero_annihilator: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.exists_product_differences_of_annihilator: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.difference_eq_zero_of_iterate_of_bounded: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Dynamics.exists_tangent_period_of_nonzero_annihilator: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Dynamics.periodic_difference_of_nonzero_annihilator: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.Algebra.exact_line_in_basis: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.two_factors: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.two_factors_nonparallel: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.two_periodic_summands: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.periodic_of_deterministic_successor_bounded: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.morse_hedlund: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.periodic_of_periodic_forcing: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.exists_shapeWindow: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.ShapeWindow.normalize: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.boundaryRule_of_small_cost: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.finite_strip_dichotomy: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.common_inner_period: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.periodic_of_rows_boundaryRule: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.TwoFactors.directional_period_of_short_window: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.periodic_of_parallel_mixed_difference: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.nivat_rational: ['Classical.choice', 'Quot.sound', 'propext']
Nivat.nivat: ['Classical.choice', 'Quot.sound', 'propext']
NivatSubmission.nivat: ['Classical.choice', 'Quot.sound', 'propext']
Allowed axiom dependencies confirmed for 36 declarations.
This screens Lean output; it does not replace kernel checking or statement inspection.
EXIT_CODE=0
